code;signification
AF_KL;AF_KL
AF_TB;AF_TB
AF_ZG;AF_ZG
AFT P;AFT P
AFT_M;AFT_M
AFT_T;AFT_T
CAM;CAM
CERT;CERT
CI-KF;CI-KF
CI-LG;CI-LG
CI-MT;CI-MT
CI-TB;CI-TB
CI-TH;CI-TH
CI-ZK;CI-ZK
ECO-A;ECO-A
ECO-D;ECO-D
ECO-P;ECO-P
GDW;GDW
MCB;MCB
MCS;MCS
MCZ;MCZ
MED;MED
MLT-G;MLT-G
MPS;MPS
MU_LG;MU_LG
MUL-A;MUL-A
P-ACA;P-ACA
RAC-C;RAC-C
RAC-D;RAC-D
RAC-G;RAC-G
RACKL;RACKL
RACLG;RACLG
RAC-M;RAC-M
RACMT;RACMT
RAC-O;RAC-O
RAC-P;RAC-P
RAC-R;RAC-R
RACSL;RACSL
RACTB;RACTB
RACTH;RACTH
RACZG;RACZG
SDF;SDF
TDX-C;TDX-C
TDX-D;TDX-D
TDX-G;TDX-G
TDX-M;TDX-M
TDX-R;TDX-R
TDX-S;TDX-S
UIOBS;UIOBS
UIPMP;UIPMP